,artist,gender,retrieved,genre
65,Marco Sartor,male,https://en.wikipedia.org/wiki/Marco_Sartor,['classical music']
66,Ephraim Lewis,male,https://en.wikipedia.org/wiki/Ephraim_Lewis,"['soul', 'neo-soul', 'r&b']"
67,Jon Anderson,male,https://en.wikipedia.org/wiki/Jon_Anderson,"['progressive rock', 'symphonic rock', 'pop rock', 'new-age']"
68,Johnny Colt,male,https://en.wikipedia.org/wiki/Johnny_Colt,"['southern rock', 'rock', 'pop rock', 'hard rock']"
69,Janet LaValley,female,https://en.wikipedia.org/wiki/Janet_LaValley,['alternative rock']
70,Dominique Eade,female,https://en.wikipedia.org/wiki/Dominique_Eade,['vocal jazz']
71,Doc Souchon,male,none,none
72,Sven Scholander,male,none,none
73,Chester Gaylord,male,https://en.wikipedia.org/wiki/Chester_Gaylord,['popular music']
74,Manny Torres,male,none,none
75,Mark Gray,male,https://en.wikipedia.org/wiki/Mark_Gray_(singer),['country']
76,Jack Chernos,male,none,none
77,Anne Evans,female,https://en.wikipedia.org/wiki/Anne_Evans,['opera']
78,Åge Aleksandersen,male,https://en.wikipedia.org/wiki/Åge_Aleksandersen,"['pop', 'rock']"
79,Katie Buckhaven,female,none,none
80,Matt Morginsky,male,https://en.wikipedia.org/wiki/Matt_Morginsky,"['christian rock', 'christian ska']"
81,Cloé Vidiane,female,none,none
82,Warren Haynes,male,https://en.wikipedia.org/wiki/Warren_Haynes,"['southern rock', 'blues rock', 'soul', 'hard rock', 'blues', 'jam']"
83,Gregg Martinez,male,none,none
84,Billy Drease Williams,male,https://en.wikipedia.org/wiki/Billy_Drease_Williams,['hip hop']
85,Nardwuar the Human Serviette,male,https://en.wikipedia.org/wiki/Nardwuar_the_Human_Serviette,['garage rock']
86,Joe Elliott,male,https://en.wikipedia.org/wiki/Joe_Elliott,"['glam metal', 'hard rock', 'heavy metal']"
87,Paul Roberts,male,https://en.wikipedia.org/wiki/Paul_Roberts_(musician),"['punk', 'pop punk', 'new wave']"
88,Hope Garber,female,none,none
89,Rachel Matkin,female,https://en.wikipedia.org/wiki/Rachel_Matkin,['country']
90,Eleanor Friedberger,female,https://en.wikipedia.org/wiki/Eleanor_Friedberger,['indie rock']
91,Brett Smiley,male,none,none
92,Margo Lion,female,none,none
93,Ray Barber,male,none,none
94,Luke Combs,male,https://en.wikipedia.org/wiki/Luke_Combs,['country']
95,Bonnie Tyler,female,https://en.wikipedia.org/wiki/Bonnie_Tyler,"['rock', 'country', 'pop', 'soft rock']"
96,Ike Isaacs,male,none,none
97,Christina Billotte,female,none,none
98,Andy Sheppard,male,https://en.wikipedia.org/wiki/Andy_Sheppard,['jazz']
99,Billy Jones,male,https://en.wikipedia.org/wiki/Billy_Jones_(musician),"['southern rock', 'hard rock', 'blues-rock']"
